호선명,역명,엘리베이터 관리번호,근접 출입구번호,상세위치,시작층(지상/지하),시작층(운행역층),종료층(지상/지하),종료층(운행역층),정원(인원수),정원(중량)(kg),승강기 상태,승강기 일련번호
1호선,대티,1,"1,3번"," (B1) 1번/3번 출입구 방향 , (1F) 1번/3번 출입구 사이 ",지하,1,지상,1,13,1000,운행,8079762
1호선,대티,2,"2,4번","(B1) 2번/4번 출입구 방향 , (1F) 2번/4번 출입구 사이",지하,1,지상,1,13,1000,운행,8079761
1호선,대티,3,-,"(B5) 괴정역 방향 승강장 3-3 출입문 방향 , (B3) 표내는곳 앞 계단 옆 , (B1) 표내는곳 내 ",지하,5,지하,1,13,1000,운행,8006403
1호선,대티,4,-,"(B5) 괴정역 방향 승강장 3-2 출입문 방향 , (B2) 표내는곳 앞 계단 옆 , (B1) 표내는곳 내 ",지하,5,지하,1,15,1150,운행,8119769
1호선,괴정,1,5번,"(1F) 5번 출입구 근처
(B1) 괴정전자분소 방면",지하,1,지상,1,13,1000,운행,8079676
1호선,괴정,2,"6,8,10번","(1F) 6번 출구 근처
(B1) B환기실 방면",지하,1,지상,1,13,1000,운행,8079675
1호선,괴정,3,,"(B1) 쌈지공원 옆
(B2) 다대포해수욕장역 방향 승강장 3-1 출입문 앞",지하,2,지하,1,13,1000,운행,8079678
1호선,괴정,4,,"(B1) 만남의 장소, 승차권발매기(60,61) 옆
(B2) 노포역 방향 승강장 3-1 출입문 앞",지하,2,지하,1,13,1000,운행,8079677
1호선,사하,1,1번,(B1) 1번 출입구 앞 (1F) 1번/3번 출입구 사이,지하,1,지상,1,13,1000,운행,8007595
1호선,사하,2,2번,(B1) 2번 출입구 앞  (1F) 2번/4번 출입구 사이,지하,1,지상,1,13,1000,운행,8007594
1호선,사하,3,1번,(B1) 1번 출입구 옆 게이트 안  (B2) 다대포해수욕장행 방향 승강장 6-1 출입문 앞,지하,1,지하,2,13,1000,운행,8000800
1호선,사하,4,2번,(B1) 2번 출입구 옆 게이트 안 (B2) 노포행 방향 승강장 6-1 출입문 앞,지하,1,지하,2,13,1000,운행,8000801
1호선,당리,1,3번,"(1F) 3번출입구, 엘리베이터 자체가 3번 출입구로 지정(계단X)",지하,지하1층,지상,지상,13,1000,운행,8079683
1호선,당리,2,4번,"(1F) 4번 출입구, 엘리베이터 자체가 4번 출입구로 지정(계단X)",지하,지하1층,지상,지상,13,1000,운행,8052853
1호선,당리,3,3번,"(1F) 3번출입구, 엘리베이터 자체가 3번 출입구로 지정(계단X)",지하,지하1층,지상,지상,13,1000,운행,8052852
1호선,당리,4,,(B2) 노포역 방향 승강장 6-3 출입문 앞,지하,지하2층,지하,지하1층,13,1000,운행,8079684
1호선,당리,5,,(B2) 다대포해수욕장역 방향 승강장 6-3 출입문 앞,지하,지하2층,지하,지하1층,13,1000,운행,8079683
1호선,하단,1,1번,"(1F) 1번 출입구 근처
(B1) 1번 출입구 방향",지하,지하1층,지상,지상,13,1000,운행,8079-688
1호선,하단,2,2번,"(1F) 2번 출입구 근처
(B1)2번 출입구 방향",지하,지하1층,지상,지상,13,1000,운행,8079-687
1호선,하단,3,6번,"(1F) 6번 출입구 근처
(B1)6번 출입구 방향",지하,지하1층,지상,지상,15,1150,운행,8113-983
1호선,하단,4,,"(B1)만남의 장소 근처
(B2)신평역 방향 승강장 4-2 출입문 앞",지하,지하2층,지하,지하1층,13,1000,운행,8079-686
1호선,하단,5,,"(B1)고객센터 근처
(B2)당리역 방향 승강장 3-1 출입문 앞",지하,지하2층,지하,지하1층,13,1000,운행,8079-685
1호선,신평,1,3번,(1F) 3번 출입구 옆,지하,B1,지상,1,13,1000,운행,8007324
1호선,신평,2,4번,"(1F) 4,6번 출입구 옆",지하,B1,지상,1,13,1000,운행,8007325
1호선,신평,3,,(B1) 동매역 방향 승강장 6-2 출입문 앞,지하,B1,지상,1,13,1000,운행,8007323
1호선,신평,4,,(B1) 하단역 방향 승강장 6-2 출입문 앞,지하,B1,지상,1,13,1000,운행,8005525
1호선,동매,1,1번,"(1F) 1번 출입구 앞
(B1) 대합실 고객센터 근처",지하,1,지상,1,13,1000,운행,8089547
1호선,동매,2,1번,"(1F) 1번 출입구 앞
(B1) 대합실 고객센터 근처",지하,1,지상,1,13,1000,운행,8089548
1호선,동매,3,3번,"(1F) 3번 출입구 근처
(B1) 대합실 화장실 근처",지하,1,지상,1,13,1000,운행,8089545
1호선,동매,4,4번,"(1F) 4번 출입구 근처
(B1) 대합실 만남의 광장 근처",지하,1,지상,1,13,1000,운행,8089546
1호선,동매,5,5번,"(1F) 5번 출입구 근처
(B1) 대합실 화장실 근처",지하,1,지상,1,13,1000,운행,8089544
1호선,동매,6,6번,"(1F) 6번 출입구 앞
(B1) 대합실 만남의 광장 근처",지하,1,지상,1,13,1000,운행,8089543
